Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
140584,1359,1196,783.5,11868.5,3445,12362,14596.5
140578,2480,615.5,973,590,3417.5,11032,6027
140567,5839.5,1895,2529,10875,4534,11703,12511.5
140404,5929,1109,2258,4968,15656.5,24351,7243
140280,6167,2971.5,1896,16179,11770.5,14880,18771
140272,9006,539,846.5,13361.5,4137,10798,14954
140261,2825,990.5,955,8456.5,4463,7714.5,23798
140250,2409,884.5,1183,14467.5,2789,6683,4656.5
140585,2618.5,667,1361,12994,2504.5,15931,20788.5
140579,5587,3508.5,10243,11453.5,6279,22702.5,5477
140562,2012.5,631.5,871.5,6613.5,7950,7893,6515
140405,3651,1056,1052,20823,2518,9012,19566.5
140281,4902.5,4943,1774,11223,2193,5339,11521.5
140271,4293.5,2537,4312,21203.5,4797,8272.5,17387
140260,2463,1386.5,1111.5,5036.5,2927,4629,8340
140248,15309,2582,1495.5,13097,4788,17387,13384
140586,4003,918,1404,10246,3999,12480.5,19128.5
140569,3286,1675.5,2856.5,14389,3409,7133,14039
140559,1545,702,1739,4694.5,1847,4874,5930
140406,3454.5,2202,1657,14082,2998,8457,25228
140282,1313,2013,2095.5,6008.5,10015.5,17318,9335
140270,4058,1380,796,3863,4616,12897.5,16331
140259,1899.5,1035.5,1778.5,12091,7208,9063,17249
140247,2840,47457.5,2196,22899,4189,18459.5,52969
140575,2696,1495.5,963,16047,2624,8297,9248.5
140570,3143.5,527,1018,2492,2190.5,8574,10143
140558,5185,867.5,1019,33691,7974,39363.5,20858
140407,6166.5,926,906,10293,4984,11346,14045
140283,7145,2994,984.5,3488,6550.5,15252.5,19532
140269,3015,1468,2526.5,13677,14372,15826,11953.5
140258,2031,572,981,9651.5,2688.5,8873,10633
140245,3725.5,1778.5,1366,2462.5,5341.5,8722,11547
140580,2288,881,1210,11399,8085.5,11774.5,13649
140571,6978,1154,723,16982.5,5188,7811.5,10348
140557,4869.5,2018,3410,2444,9117.5,28698.5,6520
140408,4515,836,2687.5,10822.5,4928,23890,8997
140284,4161,1522,1597,13759,5424,10134,15345.5
140268,1227.5,1000.5,877,5704,8060,12357.5,12358
140257,3066,1400,854,25205,6540.5,15046.5,5369.5
140246,2061,673,736,4139,1560,17872,10244
140581,4618.5,5520,5727.5,3765,3358,4202,6803
140572,4388,930,1416,17479,4913,21607,17387
140556,4098.5,1157.5,2093,15227.5,7224.5,13991,11774
140290,6713,18540,30105,5791.5,10023,30670,12339
140285,5233,1483,1857,14907,6791,15491.5,8306.5
140267,1437,583,828.5,3657,1343,6146.5,5559
140256,5656.5,972,2211,13598,1579,23014,3355
140244,4604,831,925,13232,6378,17053.5,19094
140582,2603,4427,1003.5,8857.5,7091.5,13060,13357
140573,2014.5,1445,1176,6352,7856,9296,12585
140555,9294,1785.5,2015.5,23982.5,7849,18794,26553.5
140289,3678,1348,1862,6614,5909.5,10235,10135.5
140286,3571,1296,1786,19324,5862,13222.5,11611.5
140266,3276,4344,6339.5,8362,4254,17226.5,10480.5
140255,2987,2026.5,2086.5,3130.5,6615,21687.5,8416
140243,2383,2596,1914.5,9949,3977.5,23060,18067.5
140583,3022,2863.5,2422,13387.5,2031,15633.5,15904
140563,4319,1632,1705,7052.5,5920,9398,16011.5
140554,3920,2002,2719,5461,8321.5,20500,16593
140276,4281.5,1043,1045,17526,7314,9471.5,12493
140288,3601,594,1079,4996,5023.5,7897.5,18817
140265,3937,8051,668.5,12002.5,9854,10270,20846
140254,2656,1649,3450,35374,2724,5673,9251
140242,3109,1331,1337,7337,8830,26335,12541.5
140574,5078.5,948,1006.5,10458.5,4628,13977.5,9440.5
140564,1402,653.5,753,6994,1087,4485.5,8638
140553,3133,1164,1183.5,7708,5094,17456,13292
140277,2082.5,1330.5,756,6526,2844,6872,6208
140275,7123,10194,2898,10036.5,8415,16854,42569
140264,2210,567,941,5430,7168.5,17872,7249
140253,2596,1443,1771.5,4005.5,9668,17687,14923
140241,2263,1229,1834.5,12929,5328,7593.5,17894.5
140576,2757,7108,660,17071.5,5891,11688,19025
140565,3154,1116,889,10593,5086,12116.5,20523
140552,3936,1440.5,4939,4517,2499.5,6878,11272
140278,4790,482.5,529,12514,1876,18264,12788
140274,2931.5,696.5,1245,5469,3364,11437.5,12383
140263,3545,1000,856.5,17341,4892,16924,12697
140252,4075,3638,3120,11161.5,4665.5,6922,8490
140240,3291,4318,1952,12136,4276,19912.5,13053.5
140577,4736,884,2423,14295,10980.5,9018,27049
140566,2583,692,863,2760,3818,8028.5,7310.5
140551,3160.5,922,2048,5277,2437,5739,8626
140550,3261.5,1158,1887,12745,3408,10597,12553
140543,2986.5,1453,5269,9067,7328.5,20027.5,17733
140342,9321,2010.5,3116.5,12495,3653.5,14902,8168
140310,4098,2016,1616,3969,6078.5,12085,13729
140306,8183,5049,6904,27580,19001,27626,26691.5
140394,2604,2442,1329,10115,13812,30001,30070
140392,2233,1974.5,1694.5,5177,3457.5,11751,11454
140600,5609,5841.5,1929,16194,5267.5,5614,18840
140549,4545,1826,1773,4143,4104,5870,6226
140335,3818,713,997.5,8465,9203,11833,13991
140323,5714.5,2645,4400,8142,3781,5786,9873
140311,5459,1512.5,1451,10951,6574,18240,30554.5
140302,2210,5859,1308.5,8430.5,10052,18794,23567
140391,2132,3014,1397,22714,7276,20662,20765.5
140588,3282,2125,1270.5,22991,13416.5,24098,16914
140591,5979,2554,2369,2638,1766,4612,11054.5
140548,5659,11762,1455,12602,6119.5,4724,9262.5
140353,4882,1914.5,1754,14749,8686,9686.5,16726
140330,5121.5,1174,1624,7649,3870.5,7370,12237
140314,3762,1946.5,5839,4675,6753,19370,5849.5
140292,2797,1706,4155.5,3581,3832,12775,20662
140390,11618.5,3710,3623,15283,5684,22230,9054
140587,9370,1344,1937.5,22022,9587,10601,19843.5
140590,7240,6764,1881,20189,10207,17272,25354.5
140547,1602,1432.5,1638,6039,6023,14531,15507
140327,1826.5,1321.5,2890,8266,6571,8675,10072
140320,4539,1242,2193,3186,1793,9258,4651.5
140317,14891.5,12109,14966,23821,4394.5,22184,19140
140293,2771,1252,1842.5,14407.5,6895.5,11754,13584
140377,2299,1164,1253,29056,5684.5,12286,17226
140370,2740,1514,1801,6916,4589.5,12455,16390
140599,8021,459,821,4084,3457,20131,5478.5
140544,3664,6055.5,1957,12957,3741,19993,25458
140333,4274.5,15378,1380.5,13621,1706,3835,18840
140324,2739,1157,1649.5,22668,5078,13381,14034
140322,5242.5,2500,10985,4005,3161,6288,14432
140294,2609,3673,2564,1635,1527,2780.5,8809
140363,7614,2384,3673.5,20788.5,6602,13568.5,25020
140589,3987,1653.5,2646,7352,5177,12519,10562.5
140601,2882,826.5,713,5684,10435,14984,10246
140543,2202,1037,4010.5,5303,4048.5,13879,11432
140352,3552,2630.5,3031.5,7240,3185.5,3665,18794
140325,1389.5,1044,2108,3629,2451,8722,2665
140321,4662,1480,4632.5,4995,4005.5,8994,5461
140295,2844,1291.5,742.5,12638,860,5797.5,7942.5
140389,6281,9417,5069.5,13281,10014,17375.5,22656.5
140596,2529.5,1349,4712,7593,2068.5,13710,6474
140594,4210.5,1329.5,2243,6769,9243,17295,21849.5
140541,2797,2106,4511.5,8131,1460,6151,12757
140349,3001,2026,3422,10365.5,7763,14655,12498.5
140328,3374,1974,1954.5,6019.5,5591,11420,10503
140315,1975.5,3468,2133.5,1865,2189,4404.5,16694
140305,1540.5,586,1628,3191.5,522,1127.5,2708
140364,2370,1343,410,2883,7272,14494,6971.5
140598,6058,830.5,1707.5,2592,1461,4997,9058
140596,2818,1368,4738,8955.5,2529.5,15428,7805
140539,4031,1132,1215,8600,6345,7647,9935
140350,4010,3074,3797,7720,3803,5746,16726.5
140329,6634,5158,1252,36953.5,4485,13828,23083
140316,2749,1615,5204,18448,9041,7046,14397.5
140301,3396.5,2305,831,6244,13447,21019.5,16851.5
140397,2244.5,1564,2407,5069.5,3083.5,7552,7233
140593,1511,621.5,2794.5,22402.5,2456.5,8553,19209
140388,6618.5,4424,2807,30831,10069.5,13326,21192
140537,2846.5,2704,1507,2316.5,5616.5,6823,11369
140334,2910,3763,2463.5,11116.5,4067,16287,12655.5
140313,5114.5,1382.5,4745,12464,2685,11807,9846
140318,4390,2298.5,2566,3995,3568,7969,15832
140393,4387,2501,2475,9231.5,1833,9066,5250
140341,3124,2548,960,26611,9098.5,20224,14540
140595,3172,802.5,1026,15088,3714,12702,21792
140386,8800.5,1143,2609,4518.5,1248,1768,8698
140535,2509,673,1359,3810,2909,6792.5,13165
140348,9164,783.5,1135,8836,5926,21331,15568
140312,1616,1894,2666,10751,6222.5,11072.5,23970.5
140308,19877.5,1996.5,1668,4927.5,12714,18863,24063.5
140398,2503.5,903,1401,15778,5115,22253,16411
140346,6496,2088,4566.5,10813,5598,18252,14366.5
140589,3295,1302,2261,5855,4164,10382,8994
140387,4693,1001,1407,7411,3982,8286.5,5867
140542,3659.5,2626,4352,7124,4348,5847,18620.5
140351,4046,629,1466,8688.5,3608,11521,9294
140309,4350,1555,2128,1956,6459,1512,21492
140307,3328,2004,2432.5,8946.5,5825,17156,15673
140395,2965.5,928,1269,7662,6803,18448,11530
140396,2223.5,1922,2819,26427,8110,22091,17226
140592,6119,3153.5,2950,15246,7355.5,18333,20281.5
140385,5845,807,2404.5,15254,13016.5,23867,15711.5
140379,4277.5,8879,2543,22045,9625,14934,18609
140371,2773,1276,2942.5,1687,3255,8851.5,8791
2771,2560,1370,790,15949,4584,17020,19174.5
2745,6277,1623,1135,22806,13553,7014,32445
2727,2950,4691,1971,4412,15324,27280,23383
2714,5202,1358,1767,20027.5,7209.5,1031,21895.5
2696,2058.5,1209.5,2215.5,7690,15811.5,23152,29286
2684,4037.5,966,694,12261,7482.5,14697.5,6678
140381,4056.5,3651,1676,22576,16012,28329.5,42269
140376,3000,883,1663,21319,5576,17848.5,24432
2759,4637.5,892.5,620,21792,6954,16816,19647
2746,9437,11666,2125,12809.5,12747,23971,16613
2729,5030,1140,1294,24801.5,8202,22829.5,23890
2708,4589,776,1002,8923,5795,19140,22899
2694,3665,1120.5,6570,14282,4088,17283.5,9812
2676,30681.5,416,1634.5,14523,2748,9350,6122
140382,6907,2857,2929,20201,2419,11950,16036
2772,2512,2592,1887,21861,8515.5,11308.5,27038
2760,4818.5,9176,817,6548,4202,17190,9665
2747,6188,2390,1633,16245,9034.5,24490,22714
2734,2718,635,692,5103.5,2894,7865,16595
2712,2247,1357,767,13660,5404,9841,15143
2690,7092.5,2703,1891.5,5001,7051,19255,12591.5
2681,2357.5,1178,1591,25550,2250,9025,22852
140384,4194,2089,3442,19001,3138,7459.5,11312
2766,1679,996,769,12545,7890,8684,14570
2761,3459,1489,3811.5,18932,11509,17180,12535
2748,6928.5,2150,4132.5,23383,7808,16287,15921
2736,3863,1085,468.5,23198,3813,16766,14646
2706,4201,2767.5,2924,21769,12030.5,30900,18033
2688,2483,581,701,10578,9035,11364.5,10891
2674,4374,5717,961,8713,3883.5,13142,13017
140383,4467,4178,2584.5,5692,11727.5,16818,13868
2774,3679,2012.5,2390.5,3728.5,1831,4926,10500
2763,4003,10757,3736,14805,2034,13688,20212.5
2749,3479,1521,2426.5,18632,3220,8048.5,18194
2718,5824,650,793,15307.5,5518,33414,13977
2703,3938,6983,1104,18690.5,16917,38303,22345
2687,2686,7493,1058,22276,1838.5,4691,20050.5
2673,3506.5,1378,1584,4115,3339,7394.5,7567
140380,4687,3208,1472.5,18897.5,6228.5,27165,21284.5
2768,5653,1222,1486,4102.5,1934,4565,9482.5
2765,2082,639,949,13789.5,5732,15493,28582.5
2738,4449,1713.5,1082,26242,6642,24098,24247.5
2720,3007,5004,2303,7064,5112,12017,37011
2710,1558,3765,1638.5,25112,3600,16745,15929
2686,3488.5,1666,675,22253,2353,17733,12976
2672,8957,898,1080,10535,7839,14819.5,27441
140375,5847,1223,1683,4246,16075,27061,16784
2776,3106,1093,1343,10287.5,13386,36781,14148
2751,2690,580,818,15099,4444,14580,10346
2739,2419.5,919,865,11042,3202,12931,14420
2721,6849,1758,2551,30209,4262,10932,30024
2704,2557,2508,2052,8570,4990,14460,13847
2685,2601.5,883,782,15906,7522,5955,19255
2671,6007,1148,3206,16318,6250,14299,5590
140368,3231,1075.5,1277,15442.5,1255,4319.5,6953.5
2769,3928,846.5,1058,7926,7651,6536.5,20569.5
2752,2038,1166.5,968,34578.5,6182.5,19024.5,22184
2741,3713.5,2810,1522,3317.5,1883,8073.5,11301
2722,6153,2108,2739.5,14084,5552,11512,22876
2705,3801.5,2219,1832.5,11193,4239.5,4916,17872
2680,2713,737.5,1031,11219.5,3715,20154,7180
2670,3982.5,1344.5,773,14743,9162.5,29505.5,12748
140374,2866.5,825,822,13537,7278.5,13331,11350
2779,5528,1798,2086,29159.5,3426,5618,21849.5
2753,1724,973,824,20419.5,7453,41623,24813
2742,6131,1670.5,1473,3747,7353,16189,20650.5
2723,4283.5,1931,1840,8930.5,2675,7056,27764
2702,2511,1675.5,1653,12947.5,8809,20454,26000.5
2679,3810,1176.5,1318,19509,8363,20777,20950
2675,5652,2080.5,1806.5,9640.5,5014,10482.5,13324
140372,2970.5,26703,1218.5,6853,4189.5,20362,28479
2770,3474,5195.5,9162.5,10271,5829,12048,16346
2755,4737,2555.5,2578,9909,5571,9667,16538.5
2743,5537.5,1190,2086,5409,6962,10065,11862.5
2709,8995,2174.5,1504,13854,2670,21203.5,7131.5
2700,3307.5,601,585,14216.5,4570,22760,20984.5
2678,1198.5,2290,973,3517,1345,2927.5,9226.5
2682,4643,2100,421,9063.5,12144,18356,11394
140369,3968,1661,4816.5,46696.5,8741.5,13792,29263
27784,2108,1388,2576,23371.5,2031,9830,12423.5
2756,2075,689,904,6770,4065,6335,13862.5
2726,4466,547,746,17272,2847,3411,6241.5
2711,8419,1597.5,1780,3507,4438.5,6803,19255
2697,2252,1938.5,1942.5,14704,8041,12456,10592
2677,4454,960,1078,11200,6655,11099,15473
2669,2290,1786,3687.5,5276.5,1297.5,10546,7990
