Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-269,7450,1213,1325.5,7601,1675.5,11972,11796
COVID-280,25792.5,31477,30900,3126,5458,27545.5,17906.5
COVID-565,3086.5,4610,914,14432.5,4853.5,15886.5,24109.5
COVID-131,3867.5,2289.5,1098,1821.5,3465,3604,6145
COVID-142,6081.5,1740,3230,6247,2422,4392,17122
COVID-270,3790,1265,2413.5,18886,2953.5,3688.5,26980
COVID-281,2834.5,1453,901.5,16302,8202,14130,15168
COVID-566,2000,343,574,7127.5,1265,3073.5,7177
COVID-132,9269,2176,1259,4583.5,3941,9966,15854
COVID-143,4548,1013.5,2281,12858.5,7096.5,9413,15507
COVID-271,3355,1088,1069,22852.5,6026.5,10148.5,22945
COVID-556,4644.5,4280,5518,3048.5,3619,11776,13445
COVID-567,3092,2057.5,1259,17226,2819,8069,11787
COVID-133,2047,2059.5,1875,3935.5,2340,13477,18471
COVID-144,2744,4281,1331,7512,4384,6397,11596.5
COVID-272,2230.5,733.5,942.5,4625,2214,13016,18863
COVID-557,8600,2477,2369,11570,2447,14241,19509
COVID-568,2628.5,2537.5,1487,3531,1376,8194,10889
COVID-134,3991.5,616,920,3862,3268,12356.5,10732.5
COVID-145,4385,2109,2285,8732,2245,7912,25850
COVID-273,841,5000,1498.5,7194,3493,4422,17526
COVID-558,1874.5,1269,1316,8104,6168,10148,8910
COVID-569,4964,3418,1571,11357,3133,8360.5,20247
COVID-170,4627,1202.5,1678,13911,8680,29425,35489
COVID-181,2411.5,1098.5,498,4506,8080,32976,21838
COVID-192,2170,3976.5,1485.5,12973.5,5393,16346,30209
COVID-401,2370.5,1595.5,1567,13450.5,6606.5,24259,32457
COVID-412,1887.5,1394,977,20477,8201.5,12258.5,11387
COVID-423,1608.5,19935.5,1079,7717.5,9228,15512.5,30658.5
COVID-452,5721,14997.5,2899.5,7055,2739,17456,20419.5
COVID-463,2347,4313,3790,6217,2209,3443,15356
COVID-171,5126,1844,1795,32330,11841,12360,22829
COVID-182,4446,634,1060,3956.5,2113,3048,18656
COVID-193,1857,4258,631,43860,1274.5,3936,29551.5
COVID-402,2268,2835,3232.5,9566,3303,8552,17015
COVID-413,3775,1160,4005,6922.5,5457,12774,8428
COVID-424,1860.5,906,964,18367.5,2040.5,6328,9013
COVID-453,4743.5,9775,1972,5108,3426,8431,14004
COVID-464,1838.5,807.5,1038,10745,5256.5,12961,21100
COVID-172,3794.5,1077,2216,17618,7646.5,5455,18667.5
COVID-183,2684,1646,1875.5,2745,1735,3490,3195
COVID-194,2628,1739,3082,2296,4871,8503,12651.5
